row_from_station,fsq_id,category_id,name,latitude,longitude,rating,total_ratings,total_photos,total_tips
4,4aed6e21f964a5209ccd21e3,13099,Phoenix Palace,51.522421,-0.15898,8.7,247,114,64
4,4b7fedcbf964a520fe4430e3,13018,Allsop Arms,51.522313,-0.160145,7.7,123,104,25
4,4acda689f964a52081cc20e3,13032,Caffè Nero,51.517646,-0.166278,7.9,81,64,11
4,4ac518ddf964a52068a920e3,13302,Ishtar,51.520124,-0.158361,8.1,348,199,89
4,4ac518e8f964a520a7ab20e3,10008,Grosvenor Casino,51.517296,-0.165666,7.7,72,50,11
4,4c29d970ed0ac9b6245262aa,10004,Lisson Gallery,51.521068,-0.168322,8.0,43,118,5
5,527d5a7911d237c9a840eb3f,16019,Regent's Canal Towpath,51.534419,-0.093512,8.8,59,46,4
5,55b4d8fa498eb61da69074c7,17119,SBC Cycles,51.532906,-0.089945,8.5,11,9,4
5,4ace6a86f964a52072d020e3,13018,Wenlock Arms,51.531322,-0.093841,8.3,140,111,34
5,4ace1828f964a52059ce20e3,13018,The Narrow Boat,51.533074,-0.096896,8.1,464,241,93
5,4dbacb354b22153e34bb1ae3,15022,Arlington Square,51.535934,-0.092315,7.7,9,14,2
5,4ad9b593f964a5207d1a21e3,10004,Victoria Miro Gallery,51.53035,-0.094982,9.0,154,192,17
5,59f2df534f0e587ad0250de1,13002,Pophams,51.536664,-0.096451,9.0,132,97,27
5,4ac518c7f964a52069a520e3,13018,The Island Queen,51.533223,-0.098363,7.9,293,80,62
5,4bea81c5b3352d7f0a3655d2,17068,Saponara,51.536886,-0.096316,8.6,116,24,28
5,5a2125023c858d64d914e47a,16009,Regents Canal,51.535854,-0.089341,7.7,9,6,1
5,4ac518b9f964a520bea120e3,13018,Duke of Cambridge,51.534613,-0.098707,8.1,303,87,62
5,4ad84bb7f964a520f81021e3,13006,Earl of Essex,51.533864,-0.099713,8.9,479,298,76
5,57dfd64a498e876d28724650,13035,Canal No 5,51.532821,-0.098882,8.1,29,12,4
5,55954c8f498e5f6dca3e8506,16009,Regent's Canal,51.533,-0.099689,9.4,127,181,4
5,514b0dc2e4b06366e4b9b2f7,16032,Graham Street Park,51.532077,-0.098603,7.7,9,14,
5,5841b6844988da2d6312d04c,10010,The Bill Murray,51.536282,-0.098883,8.8,77,30,14
5,4ada0163f964a5201d1d21e3,16032,Shoreditch Park,51.533685,-0.08828,8.1,247,263,24
5,4aeb21def964a520cbbe21e3,10039,Rosemary Branch Theatre,51.537634,-0.087066,8.7,164,73,44
5,4ad0becaf964a52085d920e3,13009,Colebrooke's,51.536439,-0.101352,9.0,474,181,129
5,51c705065019f88f4bbe1232,13025,Westland Coffee & Wine,51.529094,-0.090526,8.7,72,42,21
6,4ad39199f964a520f9e420e3,17033,The Conran Shop,51.522245,-0.151118,8.8,281,156,35
6,5387349c498ec1985aac953c,13032,Fischer's,51.521577,-0.151524,8.6,285,121,58
6,556ecf49498e751e57ab498e,13040,Pierre Marcolini Chocolatier,51.520631,-0.152099,8.6,41,39,17
6,53ad4446498e59958f1d8678,13177,Opso,51.520921,-0.152838,9.1,1301,1216,334
6,4ada57e0f964a520982121e3,17018,Daunt Books,51.520404,-0.152328,9.4,674,482,98
6,6171845d0ec23019a5979021,13035,Hagen,51.520575,-0.152132,8.4,36,92,4
6,4ac518cef964a520fca520e3,10027,Madame Tussauds London,51.522823,-0.15498,8.7,3113,3955,436
6,4afea714f964a520cf2f22e3,17061,La Fromagerie Marylebone,51.519912,-0.152444,9.2,328,234,77
6,4b63100df964a52084602ae3,17059,Ginger Pig,51.51992,-0.152255,9.1,103,69,25
6,4f8c0e4fe4b0e5ed76ce5083,10024,Madame Tussauds 4D,51.522819,-0.155074,9.1,257,264,33
6,4be41f9c2457a59391c3a915,16037,Paddington Street Gardens,51.520158,-0.154126,8.9,103,179,16
6,4bd06e54a8b3a59347d0635f,15014,The Harley Street Clinic,51.520074,-0.147765,8.7,31,17,3
6,62ebb303fad7ca1a5663f9ce,13073,Granger & Co,51.51918,-0.151881,9.0,52,221,6
6,4b4a0eb6f964a520347926e3,17065,Marylebone Farmers' Market,51.519112,-0.152197,8.8,120,144,20
6,58440cd79850a03d83c5ac3c,13031,Honest Burgers Baker Street,51.520559,-0.15599,8.6,85,64,17
6,54282f98498e49927ee29f6e,13009,The Cavendish,51.519058,-0.149848,8.4,57,24,7
6,63ecfcbd7328253a8fa0d9b9,13035,WatchHouse,51.518766,-0.150399,8.5,9,77,1
6,4d3ebe42557d6dcb0b555144,16016,Sherlock Holmes Statue,51.522522,-0.156812,8.4,150,263,8
6,4ac518e7f964a5206bab20e3,10024,Everyman Cinema,51.520532,-0.156555,8.5,167,52,34
6,5964bee2a2c00b527a7e3e18,13000,Joe & the Juice,51.520985,-0.157288,8.9,67,207,16
7,59d14892a795bd146ce956c8,13033,T4,51.50547,-0.218365,8.5,17,29,3
7,5b757d5e0802d4002c0a094d,13035,Black Sheep Coffee,51.505363,-0.218338,7.9,32,36,3
7,51e93bc5498e8f08be9b1308,13002,Ben's Cookies,51.505684,-0.218418,8.3,74,44,13
7,4c75802866be6dcb9c9ac00f,13018,Belushi's,51.504019,-0.218145,6.6,110,92,22
7,546decb0498e6d7a65073cd5,13145,Roosters Piri Piri,51.503832,-0.219815,7.6,16,6,3
7,575df3d2498e1a0612d5b546,13145,Leon,51.505145,-0.218379,7.2,24,40,4
7,4c1f85778b3aa59390919d5f,17034,Poundland,51.50389,-0.21859,6.7,8,12,2
7,4c053169f423a5933f9bd216,16046,Watertower,51.504763,-0.216137,7.0,8,8,0
7,5b542cc5364d97002c3ca8ab,13334,Westfield Petit Pret,51.505316,-0.218183,7.0,2,,
7,5853b68113af1c6c7738d901,19014,Hilton London Kensington,51.504959,-0.214278,8.2,18,12,4
7,5cd1562d49cf9300321b6f1c,17069,Lidl,51.503881,-0.218778,6.5,6,13,1
7,4d7275880d0ca1437128a983,11121,Thrive News,51.50547,-0.218365,6.8,11,7,4
7,4b507ac4f964a520a82427e3,17030,Boots,51.503723,-0.218691,6.3,3,0,0
7,5da9a6189bb3a600081c7cf7,13003,Copper Chimney,51.506081,-0.219185,7.4,8,7,5
7,4cb05b761168a09395bc2923,13032,Caffè Nero,51.509481,-0.223994,6.4,169,84,24
7,4cd05d2248b837040214f2de,13352,Busaba Eathai,51.506141,-0.219057,7.4,303,171,83
7,4bc1a3e44cdfc9b64aec9421,17114,West 12,51.503654,-0.219008,6.3,129,18,11
7,4dbdbc8e5da3ff58ec6aa37b,13145,Harana Meze Bar & Restaurant,51.504814,-0.221968,8.2,59,27,19
7,5015764ee4b09075815c446f,17096,Westfield Concierge,51.506025,-0.219219,7.2,28,25,6
7,4bb47a3f643cd13a97b1395c,17043,Gucci,51.50652,-0.220201,7.7,15,15,2
8,4bb4f358c29a95219dffa735,13018,Duke of Cambridge,51.472904,-0.166055,8.1,51,34,15
8,4e0e423862843e04afa9db0f,13352,Bangkok Bay,51.472151,-0.165963,8.0,26,11,12
8,5613bf5d498e337505afe14d,13064,Putt in the Park Café,51.475882,-0.161412,8.6,60,12,6
8,60884f4c75d03d4faf983a88,13018,Duke of Battersea,51.478341,-0.170171,8.3,0,,
8,4d31b12ef8c9224beb62a9d2,16037,Battersea Park Adventure Playground,51.476062,-0.161028,8.8,41,50,3
8,4b2a4474f964a520aea624e3,13236,Antipasto & Pasta,51.471941,-0.165816,7.9,35,14,14
8,5a154ef1628c83216032fc41,17069,Bayley & Sage,51.479072,-0.167256,8.5,17,4,1
8,4e1ee38662e19e27e24de8eb,13034,Caffettino,51.472965,-0.162449,8.4,65,63,25
8,5b701a8e3e70ff0024ba25cc,13034,The Farmer's Mistress,51.471553,-0.168339,8.1,18,1,2
8,4ac518e8f964a52086ab20e3,10037,Theatre 503,51.47195,-0.165627,7.4,24,41,5
8,4b4393cbf964a5209ae325e3,13006,The Lighthouse,51.47263,-0.162652,8.0,114,54,34
8,4ad06911f964a520fcd720e3,13018,The Latchmere,51.472006,-0.165594,7.2,90,48,18
8,4ae04c35f964a5208c7e21e3,13145,Bento,51.478465,-0.169821,7.6,15,4,4
8,55146397498e266c69c85e7b,13002,Flour to the People,51.471154,-0.168764,8.1,66,18,15
8,52e7ea8e498e2e9e3848e199,13148,Augustine Kitchen,51.478209,-0.169519,7.3,8,8,1
8,50ec45a0e4b0d95fa9fe7edd,17101,Battersea Flower Station,51.471438,-0.170788,8.2,11,18,3
8,4c6e468b4d24b60cb941d8d8,13034,Il Molino,51.471695,-0.167612,7.1,31,30,12
8,53b0557b498ec433ee968f96,17119,Flag Bikes,51.470938,-0.169902,8.5,16,3,5
8,4b6728c9f964a520823e2be3,13018,The Woodman,51.473575,-0.173702,8.4,56,15,19
8,4b8a5683f964a5201c6932e3,13064,Melanzana,51.47541,-0.174969,8.5,54,19,15
9,51fce059498edc756e089f99,16026,575 Wandsworth Road,51.469655,-0.140573,7.6,5,0,1
9,4d864c8350913704ce07a95b,17069,Co-op Food - Petrol Clapham,51.468955,-0.142828,6.4,8,,0
9,4ad71529f964a5209d0821e3,13034,North Street Deli,51.466643,-0.142492,8.6,26,12,8
9,5cd5eff2033693002cc6cfe0,13003,Old Town Tavern,51.466066,-0.142111,7.5,9,1,3
9,4c53f3ecfd2ea59305e04a29,13032,Savoy Cafe,51.470895,-0.138357,6.9,9,4,5
9,4c9510c4f244b1f74f2b281d,13018,The Bobbin,51.466305,-0.142789,6.8,68,31,20
9,55e59b48498e7eb433564d6d,13002,Gail's,51.464632,-0.141517,7.9,62,26,5
9,5167f802498e9cc12f7f421d,13064,Pizza Gogo,51.46784,-0.144695,,,,
9,4ac518eef964a520dfac20e3,11057,The House of Albert Roux,51.470458,-0.138439,,,,
9,55e09ddf498e5edc87c137ce,13029,Mondo Brewing Co,51.474647,-0.140288,8.7,25,69,1
9,4ad0d2f1f964a52022da20e3,13070,Santa Maria del Sur,51.469979,-0.149894,7.8,78,33,32
9,5175ec78be528667be2fcf22,13022,The Victoria,51.472926,-0.148197,8.3,35,14,
9,4b4cbb25f964a5203dbc26e3,13142,Trinity,51.463498,-0.141473,8.7,96,42,30
9,6179aea2ec5ad856820efedc,13097,Sugarcane,51.470574,-0.138277,,,,
9,4ad89fcaf964a520fa1221e3,10037,Omnibus Theatre,51.463514,-0.142287,7.5,12,23,6
9,5197e630498e82099bfe6970,13035,Maltese Social Club,51.470844,-0.138296,,,,
9,588c9a79dfa6ff7202a28644,17057,Sendero Specialty Coffee,51.466475,-0.150738,8.5,65,31,23
9,4bc1d838920eb71326301b2c,13032,Nardulli,51.462946,-0.140527,8.7,113,41,41
9,4af3119bf964a52047ea21e3,13003,The Sun,51.463956,-0.140921,7.4,155,52,30
9,5262d460498e769d304e7e18,13072,Zumbura,51.464024,-0.141795,7.4,25,6,9
10,5bc5b80c8afbe0002e57d54a,13035,Kahaila Aldgate,51.514032,-0.076984,8.2,12,4,5
10,4f70a772e4b0f375fc669005,13002,The Association,51.513671,-0.078943,8.8,379,189,93
10,57473b2e498efddb25e192d9,10023,Swingers - the Crazy Golf Club,51.514034,-0.080462,9.0,190,74,21
10,57306aef498ea744e653c9c1,13302,Farmer J,51.513589,-0.080733,8.7,78,12,12
10,53fdf70a498ee8e8185cfabd,13009,The Alchemist,51.514989,-0.079698,8.1,289,135,47
10,5c66c388947c05003948a783,16017,The Garden at 120,51.512173,-0.080954,8.8,50,206,8
10,4c40b626af052d7f883b7c79,13000,HELIX Restaurant,51.514475,-0.080285,8.0,131,207,23
10,50a4d7cbe4b0755d9a3a3468,14013,KERB Gherkin,51.51468,-0.080526,8.5,55,37,8
10,56cf0e4c498e3a5a5e7326c3,13035,Notes Coffee Roaster & Wine Bar,51.514467,-0.080473,8.3,20,7,2
10,58b9e8c84f10696273c58799,13064,1N1 Fashion N Pizza,51.516081,-0.075919,8.0,15,2,4
10,57b5a47438fa113f89416133,13145,Hohaki,51.51618,-0.076134,7.8,28,4,4
10,597a528801559a4e527e73ca,13009,Rotunda Bar & Lounge,51.510245,-0.078191,8.4,13,11,1
10,52c34344498ef50111c018ef,13009,Discount Suit Company,51.516697,-0.075452,9.0,376,108,71
10,5896239e3bd4ab768ab1992b,13148,La Dame de Pic,51.510146,-0.077976,8.7,33,42,7
10,57fb4523498ed8ace0911ce5,13000,canteenM Tower of London hotel,51.510155,-0.076597,8.4,17,7,1
10,58054fdf38fa86cde7e2ca15,13013,cloudM Tower of London,51.51016,-0.076503,8.7,42,42,7
10,4e5e2c3f62e121012039f787,14013,Petticoat Lane Street Food,51.516437,-0.075245,8.3,30,13,9
10,593afd8a6bdee61f15feef38,13072,Mei Ume,51.510198,-0.078036,8.7,17,6,4
10,564cd371498ef728d183c07d,13000,Katsu Wrap,51.516437,-0.075245,8.2,17,1,8
10,5548bf3e498e5a453a75bb45,13035,Black Sheep Coffee,51.514957,-0.072117,8.1,61,10,10
11,551e7d5e498e51f9cab94f6d,13006,The Hop Locker,51.505756,-0.115806,8.8,33,233,4
11,5033e5d1e4b011c548922311,13152,Brasserie Blanc Southbank,51.505736,-0.115086,8.3,60,28,14
11,4b0bf426f964a5200e3523e3,10037,Royal Festival Hall,51.505713,-0.116748,8.9,1296,1988,138
11,4b141334f964a520de9c23e3,10024,Odeon,51.504821,-0.113811,9.1,1158,782,170
